synset,adverb,sentence,definition,type
00340873-r,unfeelingly,"unfeelingly, she required her maid to work on Christmas Day",without compassionate feelings,
00341590-r,fifthly,"fifthly, we must adhere to the rules set by the local government",in the fifth place,
00341997-r,first class,we always travel first class,by first class conveyance; with first class accommodations,
00344853-r,unforgivingly,"unforgivingly, he insisted that she pay her debt to the last penny",without forgiveness; in an unforgiving manner,
00345456-r,piano,,used as a direction in music; to be played relatively softly,
00345456-r,softly,,used as a direction in music; to be played relatively softly,
00345595-r,forte,,used as a direction in music; to be played relatively loudly,
00345595-r,loudly,,used as a direction in music; to be played relatively loudly,
00345734-r,pianissimo,,a direction in music; to be played very softly,
00345734-r,very softly,,a direction in music; to be played very softly,
00345869-r,fortissimo,,a direction in music; to be played very loudly,
00345869-r,very loudly,,a direction in music; to be played very loudly,
00346567-r,fourthly,"fourthly, you must pay the rent on the first of the month",in the fourth place,
00346567-r,fourth,"fourthly, you must pay the rent on the first of the month",in the fourth place,
00346866-r,fraternally,,in a brotherly manner,
00347253-r,frugally,"in villages, the new pipeline marks the end of water as a precious liquid, to be dispensed frugally, weighed out drop by drop",in a frugal manner,
00347981-r,fretfully,"fretfully, the baby tossed in his crib",in a fretful manner,
00349656-r,jeeringly,,in a disrespectful jeering manner,
00349656-r,mockingly,,in a disrespectful jeering manner,
00349656-r,gibingly,,in a disrespectful jeering manner,
00350388-r,glissando,"this should be played glissando, please",(musical direction) in the manner of a glissando (with a rapidly executed series of notes),
00351651-r,gluttonously,this man eats gluttonously!,in a gluttonous manner,
00351874-r,good-naturedly,,in a good-natured manner,
00352726-r,gregariously,,in a gregarious manner,
00352726-r,sociably,,in a gregarious manner,
00353252-r,gropingly,,in an uncertain groping manner,
00354517-r,half-hourly,,"every thirty minutes, every half hour",
00354612-r,half-yearly,,"every half year, every six months",
00356040-r,hatefully,,in a hateful manner,
00356577-r,unadvisedly,,in an unadvised manner,
00356657-r,recklessly,,in a reckless manner,
00357947-r,hereinbefore,,in the preceding part of the current text,
00358208-r,hereupon,"hereupon, the passengers stumbled aboard",immediately after this,
00359316-r,high-mindedly,"he talks high-mindedly, but we don't know whether he acts according to his principles",in a high-minded manner,
00359488-r,questioningly,"they turned their heads questioningly, as if awaiting further instructions",in a curious and questioning manner,
00359488-r,wonderingly,"they turned their heads questioningly, as if awaiting further instructions",in a curious and questioning manner,
00360781-r,hourly,"daily, hourly, I grew stronger",every hour; by the hour,
00363133-r,ideologically,"ideologically, we do not see eye to eye",with respect to ideology,
00363577-r,idly,"this is what I always imagined myself doing in the south of France, sitting idly, drinking coffee, watching the people",in an idle manner,
00363577-r,lazily,"this is what I always imagined myself doing in the south of France, sitting idly, drinking coffee, watching the people",in an idle manner,
00365014-r,legitimately,you cannot do this legitimately!,in a manner acceptable to common custom,
00365014-r,lawfully,you cannot do this legitimately!,in a manner acceptable to common custom,
00365014-r,licitly,you cannot do this legitimately!,in a manner acceptable to common custom,
00365540-r,logically,"logically, you should now do the same to him",according to logical reasoning,
00366906-r,penitently,,showing remorse,
00366906-r,penitentially,,showing remorse,
00366906-r,repentantly,,showing remorse,
00367080-r,imperatively,,in an imperative and commanding manner,
00367080-r,peremptorily,,in an imperative and commanding manner,
00368189-r,personally,"speaking personally, I would not want to go",as yourself,
00369664-r,importantly,"more importantly, Weber held that the manifold meaning attached to the event by the social scientist could alter his definition of the concrete event itself",in an important way or to an important degree,
00369664-r,significantly,"more importantly, Weber held that the manifold meaning attached to the event by the social scientist could alter his definition of the concrete event itself",in an important way or to an important degree,
00370459-r,precisely,"‘Precisely, my lord,’ he said",just as it should be,
00370459-r,exactly,"‘Precisely, my lord,’ he said",just as it should be,
00370459-r,on the nose,"‘Precisely, my lord,’ he said",just as it should be,
00370459-r,on the dot,"‘Precisely, my lord,’ he said",just as it should be,
00370459-r,on the button,"‘Precisely, my lord,’ he said",just as it should be,
00370928-r,providently,"providently, he had saved up some money for emergencies",in a provident manner,
00371348-r,imprudently,"imprudently, he downed tools and ran home to make his wife happy",in an imprudent manner,
00373140-r,incriminatingly,,in an incriminating manner,
00374285-r,indignantly,"Miss Burney protested indignantly, her long thin nose turning pink with mortification at this irreverent piece of mimicry",in an indignant manner,
00375875-r,influentially,,exerting influence,
00375953-r,informatively,,in an informative manner,
00375953-r,instructively,,in an informative manner,
00380634-r,from the heart,he spoke from the heart,very sincerely,
00380718-r,insinuatingly,"the art book has art to sell, insinuatingly, and for a purpose, like the American muse, which has in fact a tradition to sell, and one which doesn't exist, in painting",in an insinuating manner,
00381063-r,insomuch,,to such an extent or degree; so,
00381386-r,insubstantially,,not substantially; lacking substantial expression or fullness,
00381386-r,impalpably,,not substantially; lacking substantial expression or fullness,
00381934-r,interdepartmental,this memo was circulated interdepartmentally,between departments,
00382423-r,interrogatively,,in a questioning format,
00382827-r,intolerantly,,in an intolerant manner,
00383087-r,intransitively,"you can use the verb ‘drink’ intransitively, without a direct object",in an intransitive manner,
00383775-r,invidiously,,in a manner arousing resentment,
00383864-r,invincibly,"invincibly, the troops moved forward",in an invincible manner,
00384453-r,ironically,"ironically, he ended up losing money under his own plan",contrary to plan or expectation,
00384582-r,irrelevantly,"suddenly and irrelevantly, she asked him for money",in an irrelevant manner,
00386220-r,jocosely,they tried to deal with this painful subject jocularly,with humor,
00386220-r,jocular,they tried to deal with this painful subject jocularly,with humor,
00387120-r,killingly,,in a very humorous manner,
00387120-r,sidesplittingly,,in a very humorous manner,
00387726-r,landward,"landward, miles of rough grass marshes melt into low uplands",toward land,
00387726-r,landwards,"landward, miles of rough grass marshes melt into low uplands",toward land,
00388297-r,large,,"at a distance, wide of something (as of a mark)",
00388378-r,lasciviously,,in a lascivious manner,
00388378-r,salaciously,,in a lascivious manner,
00389359-r,under arms,,armed and prepared for fighting,
00389887-r,legato,"play this legato, please",connecting the notes; in music,
00389998-r,staccato,"play this staccato, please",separating the notes; in music,
00390398-r,lento,"Play this lento, please",in music,
00390398-r,slowly,"Play this lento, please",in music,
00392720-r,unmanfully,,without qualities thought to befit a man,
00392720-r,unmanly,,without qualities thought to befit a man,
00392962-r,light-handedly,,in a light-handed manner,
00393380-r,limnologically,,with regard to or concerning limnology,
00393707-r,matrilineally,,by descent through the female line,
00393801-r,patrilineally,,by descent through the male line,
00393893-r,lingeringly,"{'source': 'Rossetti', 'text': 'her voice was swift, yet ever the last words fell lingeringly'}","in a slow, leisurely or prolonged way",
00393893-r,protractedly,"{'source': 'Rossetti', 'text': 'her voice was swift, yet ever the last words fell lingeringly'}","in a slow, leisurely or prolonged way",
00394265-r,lividly,,in a livid manner,
00394594-r,longer,can I stay bit longer?,for more time,
00394779-r,loquaciously,"‘When I was young,’ she continued loquaciously, ‘I used to do all sorts of naughty things’",in a chatty loquacious manner,
00394779-r,garrulously,"‘When I was young,’ she continued loquaciously, ‘I used to do all sorts of naughty things’",in a chatty loquacious manner,
00394779-r,talkatively,"‘When I was young,’ she continued loquaciously, ‘I used to do all sorts of naughty things’",in a chatty loquacious manner,
00394779-r,talkily,"‘When I was young,’ she continued loquaciously, ‘I used to do all sorts of naughty things’",in a chatty loquacious manner,
00396055-r,magnanimously,"magnanimously, he forgave all those who had harmed him",in a magnanimous manner,
00396753-r,malignantly,,"in a malignant manner, as of a tumor that spreads",
00396860-r,malignly,,in a malign and evil manner,
00396942-r,managerially,,in a managerial manner,
00397023-r,mangily,,in a mangy manner,
00397239-r,manipulatively,,in an artfully manipulative manner,
00399834-r,meanspiritedly,,in a meanspirited manner,
00400548-r,meditatively,"round and round, while meditatively, as a cow chewing the cud, he let his eyes rest on the flat water ahead of him",in a meditative manner,
00400747-r,mellowly,,in a mellow manner,
00400747-r,mellow,,in a mellow manner,
00401612-r,unmemorably,,in an unmemorable manner,
00401884-r,mendaciously,"I told him, quite untruthfully, that I had just returned from leave",in a mendacious and untruthful manner,
00401884-r,untruthfully,"I told him, quite untruthfully, that I had just returned from leave",in a mendacious and untruthful manner,
00402308-r,menially,,in a menial manner,
00402908-r,messily,"Rossi spat very deliberately, and very messily, upon Durieux's party card","in a messy, untidy manner",
00402908-r,untidily,"Rossi spat very deliberately, and very messily, upon Durieux's party card","in a messy, untidy manner",
00403375-r,metrically,"metrically, these poems are matched",with regard to meter,
00403940-r,amidships,"in the late 19th century, engines were placed in front, amidships, and at the rear",at or near or toward the center of a ship,
00403940-r,amidship,"in the late 19th century, engines were placed in front, amidships, and at the rear",at or near or toward the center of a ship,
00403940-r,midships,"in the late 19th century, engines were placed in front, amidships, and at the rear",at or near or toward the center of a ship,
00404127-r,midweek,,in the middle of the week,
00404674-r,miraculously,"my hand grasped the gun that was, miraculously, lying on the ground beside my finger tips",in a miraculous manner,
00405159-r,momentously,,in a momentous way,
00407778-r,in return,gave up our seats on the plane and in return received several hundred dollars and seats on the next plane out,(often followed by ‘for’) in exchange or in reciprocation,
00407778-r,reciprocally,gave up our seats on the plane and in return received several hundred dollars and seats on the next plane out,(often followed by ‘for’) in exchange or in reciprocation,
00408067-r,naively,"he believed, naively, that she would leave him her money",in a naive manner,
00408548-r,narrow-mindedly,"narrow-mindedly, the authorities closed down the cafe where teenagers used to hang out",in a narrow-minded manner,
00408548-r,small-mindedly,"narrow-mindedly, the authorities closed down the cafe where teenagers used to hang out",in a narrow-minded manner,
00409589-r,nay,"each of us is peculiar, nay, in a sense unique",not this merely but also; not only so but,
00410542-r,neck and neck,the horses ran neck and neck,even or close in a race or competition or comparison,
00410542-r,head-to-head,the horses ran neck and neck,even or close in a race or competition or comparison,
00410542-r,nip and tuck,the horses ran neck and neck,even or close in a race or competition or comparison,
00410919-r,neglectfully,,in a neglectful manner,
00411507-r,nevermore,"{'source': 'E.A. Poe', 'text': 'Quoth the raven, nevermore!'}",at no time hereafter,
00411507-r,never again,"{'source': 'E.A. Poe', 'text': 'Quoth the raven, nevermore!'}",at no time hereafter,
00411953-r,close up,without my reading glasses I can hardly see things close up,very close,
00411953-r,at close range,without my reading glasses I can hardly see things close up,very close,
00412955-r,nutritionally,"nutritionally, her new diet is suicide",with regard to nutrition,
00413571-r,northeast,,"to, toward, or in the northeast",
00413571-r,north-east,,"to, toward, or in the northeast",
00413571-r,nor'-east,,"to, toward, or in the northeast",
00413665-r,northwest,,"to, toward, or in the northwest",
00413665-r,north-west,,"to, toward, or in the northwest",
00413665-r,nor'-west,,"to, toward, or in the northwest",
00413759-r,north-northeast,,"to, toward, or in the north-northeast",
00413759-r,nor'-nor'-east,,"to, toward, or in the north-northeast",
00413857-r,north-northwest,,"to, toward, or in the north-northwest",
00413857-r,nor'-nor'-west,,"to, toward, or in the north-northwest",
00414506-r,observantly,,in an observant manner,
00414506-r,observingly,,in an observant manner,
00414618-r,obstreperously,"obstreperously, he demanded to get service",in manner that attracts attention,
00414618-r,loudly,"obstreperously, he demanded to get service",in manner that attracts attention,
00414618-r,clamorously,"obstreperously, he demanded to get service",in manner that attracts attention,
00414799-r,obtrusively,,in an obtrusive manner,
00415483-r,offside,,illegally in advance of the ball or puck,
00415559-r,onerously,,in an onerous manner,
00416070-r,optimally,,in an optimal and most desirable way,
00416968-r,organizationally,"organizationally, the conference was a disaster!",with regard to organization,
00417110-r,osmotically,,by means of osmosis,
00417692-r,overbearingly,,in an overbearing manner,
00418673-r,palatably,,in a palatable way,
00419209-r,parentally,,in a parental manner,
00419794-r,patchily,,in spots,
00420302-r,patriotically,"patriotically, he buys only U.S.-made products",in a patriotic manner,
00420895-r,pedantically,"these interpretations are called ‘schemas’ or, more pedantically, ‘schemata’",in a pedantic manner,
00421054-r,peevishly,,in a peevish manner,
00421054-r,querulously,,in a peevish manner,
00421054-r,fractiously,,in a peevish manner,
00421705-r,perceptively,,in a perceptive manner,
00422171-r,perkily,"stuck perkily, like a bustle on a woman's skirt",in a perky manner,
00423235-r,pervasively,,in a pervasive manner,
00423314-r,pettily,,in a petty way,
00423382-r,pharmacologically,"pharmacologically, this plant could have important applications",with regard to pharmacology,
00423660-r,philanthropically,,in a philanthropic manner,
00424530-r,piggishly,"piggishly, he took two pieces of cake",in a piggish manner,
00425289-r,pizzicato,,with a light plucking staccato sound,
00426773-r,piteously,,in a piteous manner,
00428672-r,poisonously,,in a very malevolent manner,
00428672-r,venomously,,in a very malevolent manner,
00428968-r,plumb,,conforming to the direction of a plumb line,
00429384-r,popishly,,like the Pope; in a popish manner,
00429472-r,portentously,"portentously, the engines began to roll",in a portentous manner,
00430084-r,poutingly,,with a pout or in a pouting manner,
00430404-r,powerlessly,,in a powerless manner,
00430483-r,practicably,,in a practicable manner; so as to be feasible,
00430483-r,feasibly,,in a practicable manner; so as to be feasible,
00431708-r,predictably,"predictably, he did not like the news",in a predictable manner or to a predictable degree,
00432340-r,carnally,,in a carnal manner,
00432599-r,pressingly,,in a pressing manner,
00433834-r,primitively,,with reference to the origin or beginning,
00433834-r,originally,,with reference to the origin or beginning,
00433834-r,in the beginning,,with reference to the origin or beginning,
00434111-r,problematically,,in such a way as to pose a problem,
00435013-r,profitlessly,,without gain or profit,
00435013-r,unprofitably,,without gain or profit,
00435013-r,gainlessly,,without gain or profit,
00436397-r,prudishly,"she acts prudishly, but I wonder whether she is really all that chaste",in a prudish manner,
00436397-r,puritanically,"she acts prudishly, but I wonder whether she is really all that chaste",in a prudish manner,
00436580-r,pruriently,,in a prurient manner,
00437154-r,pugnaciously,,in a pugnacious manner,
00437696-r,punily,,in a puny manner,
00437765-r,punishingly,,in a punishing manner,
00437844-r,punitively,,in a way intended to punish,
00437844-r,punitorily,,in a way intended to punish,
00437844-r,penally,,in a way intended to punish,
00441286-r,rapaciously,,in a rapacious manner,
00441740-r,rebukingly,,in the manner of someone delivering a rebuke,
00441823-r,receptively,,in a receptive manner,
00442416-r,relevantly,,with relevance,
00443542-r,reservedly,,with reserve; in a reserved manner,
00443633-r,resignedly,"resignedly, I telegraphed back that it was all right with me if he insisted",with resignation and acceptance; in a resigned manner,
00443804-r,ripely,,with mature or developed appearance,
00444028-r,resourcefully,,in a resourceful manner,
00444777-r,retentively,,in a retentive manner,
00444990-r,retrospectively,"retrospectively, he seems like a great artist",in a manner contemplative of past events,
00445539-r,reversely,,in an opposite way; so as to be reversed,
00445743-r,right-down,"{'source': 'Charles Dickens', 'text': ""a regular right-down bad 'un""}",positively,
00449404-r,coastward,,in the direction of the coast,
00449663-r,second class,we traveled second class,by second class conveyance,
00449758-r,secretively,"the teacher raised a hand to him, slightly and secretively, because he was her favorite",in a secretive manner; with a preference for secrecy,
00449959-r,sedately,,in a sedate manner,
00449959-r,calmly,,in a sedate manner,
00450666-r,self-evidently,,in a self-evident manner,
00451658-r,unsentimentally,"unsentimentally, she threw out her dead son's toys",in an unsentimental manner,
00452400-r,seventhly,"seventhly, you have no right to cancel the lease in mid-year",in the seventh place,
00453331-r,shallowly,,in a shallow manner,
00453406-r,shambolically,,in a shambolic manner,
00454019-r,sheer,,straight up or down without a break,
00454019-r,perpendicularly,,straight up or down without a break,
00455322-r,shudderingly,"shudderingly, she acknowledged to herself that she dared not face what lay before her",with a shudder,
00455853-r,sidelong,"{'source': 'Nathaniel Hawthorne', 'text': 'seated sidelong to the window'}",with the side toward someone or something,
00457002-r,pusillanimously,"simperingly, the accused begged for mercy",with a lack of courage and determination,
00457002-r,simperingly,"simperingly, the accused begged for mercy",with a lack of courage and determination,
00457279-r,single-mindedly,,in a single-minded manner,
00457801-r,sixthly,"sixthly, we cannot afford a vacation",in the sixth place,
00459088-r,slanderously,,in a false and slanderous and defamatory manner; with slander or calumny,
00459088-r,calumniously,,in a false and slanderous and defamatory manner; with slander or calumny,
00459370-r,slantingly,,with a slant,
00459370-r,slopingly,,with a slant,
00459469-r,slantwise,,at a slant; moving or directed in a slantwise position or direction,
00459469-r,slantways,,at a slant; moving or directed in a slantwise position or direction,
00459726-r,slam-bang,yachts ran slap-bang into the convoy at 15 knots an hour,with heedless speed,
00460752-r,smoothly,"‘And now,’ he said smoothly, ‘we will continue the conversation’",in a smooth and diplomatic manner,
00461491-r,unsmilingly,"unsmilingly, he greeted his in-laws",without smile; in an unsmiling manner,
00461819-r,smuttily,,in a smutty manner,
00461819-r,vulgarly,,in a smutty manner,
00462637-r,sobbingly,"sobbingly, the teenager admitted killing the baby",with sobs,
00462737-r,sociably,"sociably, the new neighbors invited everyone on the block for coffee",in a sociable manner,
00463804-r,sordidly,,in a sordid or squalid way,
00463804-r,squalidly,,in a sordid or squalid way,
00464053-r,sorrowfully,,in a sorrowful manner,
00464132-r,all together,Let's say ‘Yes!’ all at once,all at the same time,
00464132-r,all at once,Let's say ‘Yes!’ all at once,all at the same time,
00464239-r,sottishly,,in a sottish manner,
00464314-r,southeast,,"to, toward, or in the southeast",
00464314-r,south-east,,"to, toward, or in the southeast",
00464314-r,sou'-east,,"to, toward, or in the southeast",
00464408-r,southwest,,"to, toward, or in the southwest",
00464408-r,south-west,,"to, toward, or in the southwest",
00464408-r,sou'west,,"to, toward, or in the southwest",
00464501-r,south-southeast,,"to, toward, or in the south southeast",
00464501-r,sou'-sou'-east,,"to, toward, or in the south southeast",
00464599-r,south-southwest,,"to, toward, or in the south southwest",
00464599-r,sou'-sou'-west,,"to, toward, or in the south southwest",
00465693-r,speciously,,in a specious manner,
00466176-r,sportingly,,so as to be sporting; in a sporting manner,
00466293-r,unsportingly,,in an unsportsmanlike manner,
00467231-r,standoffishly,"standoffishly, he declined the invitation to the office party",in a standoffish manner,
00468284-r,stereotypically,,in a stereotypical manner,
00469954-r,thereinafter,,"in the following part of a given matter, as in a document or speech",
00470364-r,therewith,"{'source': 'The Bible, Philippians 4:11', 'text': 'I have learned that whatever state I am, therewith to be content'}",with that or this or it,
00470504-r,therewithal,"{'source': 'Shakespeare', 'text': 'thy slanders I forgive; and therewithal remit thy other forfeits'}",together with all that; besides,
00472665-r,unromantically,"we got married, rather unromantically, in a dingy office in the town hall",without romance; in an unromantic manner,
00473095-r,superfluously,"superfluously, he added his silly comments to the discussion",in a superfluous manner,
00473242-r,superlatively,,to a superlative degree,
00474199-r,surprisedly,,in the manner of one who is surprised,
00478108-r,tenthly,,"(in enumerating something, such as topics or points of discussion) in the tenth place",
00478378-r,theologically,"he dealt with the problem of evil theologically, not philosophically",in a theological manner,
00478938-r,traditionally,"traditionally, we eat fried foods on Hanukah",according to tradition; in a traditional manner,
00481122-r,timorously,,in a timorous and trepid manner,
00481122-r,trepidly,,in a timorous and trepid manner,
00481406-r,tomorrow,,"the next day, the day after, following the present day",
00481921-r,tortuously,,with twists and turns,
00482210-r,transcendentally,,in a transcendental way or to a transcendental extent,
00482524-r,transitionally,,as a transitional step or in a transitional manner,
00482635-r,transitorily,,for a very brief time,
00484611-r,typographically,,in a typographic way,
00484693-r,ultra vires,,beyond the scope or in excess of legal power or authority,
00486768-r,unchivalrously,"unchivalrously, the husbands who had to provide such innocent indulgences eventually began to count the costs",in an unchivalrous and ungallant manner,
00487120-r,uncompromisingly,,in an uncompromising manner,
00487462-r,unwontedly,,in an unusual manner,
00487818-r,uncouthly,"uncouthly, he told stories that made everybody at the table wince",in an uncouth manner,
00487963-r,unctuously,,in an unctuous manner,
00487963-r,smarmily,,in an unctuous manner,
00487963-r,fulsomely,,in an unctuous manner,
00489336-r,underhandedly,"{'source': 'John Donne', 'text': 'Mean revenge, committed underhand'}",slyly and secretly,
00489336-r,underhand,"{'source': 'John Donne', 'text': 'Mean revenge, committed underhand'}",slyly and secretly,
00490485-r,unimaginably,,to an unimaginable extent,
00490485-r,unthinkably,,to an unimaginable extent,
00490777-r,unnaturally,"his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose",in an unnatural way,
00491086-r,precedentedly,,with precedent,
00491178-r,unprecedentedly,,in an unprecedented manner,
00491393-r,unrestrainedly,,in an unrestrained manner,
00491623-r,unstintingly,,in an unstinting manner,
00492424-r,unworthily,,in an unworthy manner,
00492996-r,uprightly,,in an upright position,
00494018-r,vacuously,,in a vacuous manner,
00495238-r,vigilantly,,in a watchful manner,
00495238-r,watchfully,,in a watchful manner,
00495612-r,vivace,play this section vivace!,"lively, in music",
00496172-r,vulnerably,,in a vulnerable manner,
00496251-r,waggishly,,in a waggish manner,
00496653-r,wealthily,,with riches,
00497507-r,whence,,"from what place, source, or cause",
00497575-r,wherever,,"where in the world; location, singular, elective existential pronoun",
00497575-r,wheresoever,,"where in the world; location, singular, elective existential pronoun",
00498580-r,wistfully,"his sister would have looked beautiful in that dress, he thought wistfully, just like an angel",in a wistful manner,
00498998-r,wolfishly,,in the manner of a wolf,
00499077-r,worryingly,,in a manner to cause worry,
00499327-r,worthily,,in a worthy manner; with worthiness,
00499417-r,worthlessly,,in a worthless manner,
00499758-r,yea,"I therein do rejoice, yea, and will rejoice","not only so, but",
00499758-r,yeah,"I therein do rejoice, yea, and will rejoice","not only so, but",
00500380-r,a la mode,we served the apple pie a la mode,with ice cream on top or on the side,
00500491-r,between decks,,"in the space between decks, on a ship",
00500491-r,'tween decks,,"in the space between decks, on a ship",
00501131-r,bonnily,,in a bonny manner,
00501646-r,clammily,,in a clammy manner,
00501719-r,conjugally,,in a conjugal manner,
00501719-r,connubial,,in a conjugal manner,
00501826-r,constrainedly,,in a constrained manner,
00502131-r,coordinately,,in a coordinated manner,
00502213-r,corruptly,,in a corrupt manner,
00502213-r,corruptedly,,in a corrupt manner,
00502424-r,dingily,,in a dingy manner,
00502424-r,grubbily,,in a dingy manner,
00502424-r,grungily,,in a dingy manner,
00502553-r,discursively,,in a rambling manner,
00502553-r,ramblingly,,in a rambling manner,
00502645-r,profligately,,in a dissolute way,
00502645-r,dissolutely,,in a dissolute way,
00502957-r,imminently,,in an imminent manner,
00503035-r,integrally,,in an integral manner,
00503113-r,martially,,in a martial manner,
00503188-r,ruggedly,,in a rugged manner,
00503261-r,shrewishly,,in a shrewish manner,
00503338-r,in principle,"in principle, we agree",with regard to fundamentals although not concerning details,
00503338-r,in theory,"in principle, we agree",with regard to fundamentals although not concerning details,
00503338-r,in essence,"in principle, we agree",with regard to fundamentals although not concerning details,
00503489-r,per capita,"we are spending $5,000 per capita annually for education in this district",per person; for each person; of each person,
00505869-r,in common,we have several things in common,of joint or shared interest,
00506091-r,in common,"mites are arachnids, but they have a lot in common with insects",in joint use or possession,
00506249-r,in common with,"in common with families in general, one parent families have been getting smaller",in the same way as; like,
00506948-r,second hand,I prefer to buy second hand,from a source of previously owned goods,
00507076-r,in full,the amount was paid in full,referring to a quantity,
00507076-r,fully,the amount was paid in full,referring to a quantity,
00507466-r,in flight,we saw the ducks in flight,flying through the air,
00507466-r,on the wing,we saw the ducks in flight,flying through the air,
00507906-r,by rights,,with reason or justice,
00507966-r,caudally,,toward the posterior end of the body,
00507966-r,caudal,,toward the posterior end of the body,
00508298-r,one by one,the prisoners came out one by one,in succession,
00508298-r,one at a time,the prisoners came out one by one,in succession,
00508403-r,one after another,,following one another in quick succession,
00508403-r,one after the other,,following one another in quick succession,
00508749-r,redly,"{'source': 'Adria Langley', 'text': 'the forge belched redly at the sky'}",displaying a red color,
00510352-r,yesterday,I was not born yesterday!,in the recent past; only a short time ago,
00510788-r,on earth,what on earth are you doing?,used with question words to convey surprise,
00511820-r,from pillar to post,we were driven from pillar to post,from one place or situation to another,
00511820-r,hither and thither,we were driven from pillar to post,from one place or situation to another,
00512638-r,out of sight,the ship disappeared behind the horizon and passed out of sight,no longer visible,
00512638-r,out of view,the ship disappeared behind the horizon and passed out of sight,no longer visible,
00512777-r,out of place,he felt out of place in the lingerie shop,in a setting where one is or feels inappropriate or incongruous,
00512926-r,baby-wise,"he cradled it, baby-wise, in his arms",like a baby,
00512926-r,baby-like,"he cradled it, baby-wise, in his arms",like a baby,
00513162-r,coincidentally,,happening at the same time,
00513162-r,coincidently,,happening at the same time,
00513385-r,contextually,,in a manner dependent on context,
00513476-r,departmentally,,dependent on a department,
00513562-r,polygonally,,in a polygonal manner,
00513641-r,regimentally,,in a regimental manner or by regiments,
00513738-r,residentially,,used as a residence,
00513817-r,schismatically,,in a manner that is schismatic,
00513908-r,viscerally,,in an unreasoning visceral manner,
00513908-r,unreasoningly,,in an unreasoning visceral manner,
00514358-r,nebulously,,in a nebulous and indefinite manner,
00514619-r,northwestward,,in a northwestward direction,
00514619-r,northwestwardly,,in a northwestward direction,
00514912-r,southwestward,,in a southwestward direction,
00514912-r,southwestwardly,,in a southwestward direction,
00515036-r,abaxially,,in an abaxial manner,
00515130-r,adaxially,,in an adaxial manner,
00515224-r,adjectivally,,as an adjective; in an adjectival manner,
00515323-r,affirmatively,,in an affirmative manner,
00515631-r,complexly,,in a complex manner,
00515706-r,cursively,,in a cursive manner,
00515781-r,dolce,,gently and sweetly,
00515852-r,draggingly,,in a dragging manner,
00515929-r,eccentrically,,not symmetrically with respect to the center,
00516033-r,eccentrically,,in an eccentric or bizarre manner,
00516126-r,endogenously,,in an endogenous manner,
00516208-r,erotically,,in an erotic manner,
00516284-r,hypnotically,,by means of hypnotism,
00516364-r,immunologically,,from the point of view of immunology,
00516462-r,in vitro,an egg fertilized in vitro,in an artificial environment outside the living organism,
00516462-r,ex vivo,an egg fertilized in vitro,in an artificial environment outside the living organism,
00516613-r,irreparably,,in an irreparable manner or to an irreparable degree,
00516723-r,irritatingly,,in an irritating manner,
00516805-r,judicially,,as ordered by a court,
00517008-r,on camera,the senator didn't realize that he was speaking on camera,within range of a movie or television camera,
00517151-r,prepositionally,,as a preposition,
00517229-r,presidentially,,in a presidential manner,
00517422-r,recurrently,,in a recurrent manner,
00517605-r,sinuously,,in a sinuous manner,
00517680-r,sinusoidally,,in a sinusoidal manner,
00517761-r,spaceward,,towards outer space,
00517761-r,spacewards,,towards outer space,
00518214-r,synergistically,,(of drugs or muscles) in a synergistic or interactive manner,
00518336-r,synergistically,,(of group) in a synergistic or cooperative manner,
00518683-r,topologically,,from the point of view of topology,
00518777-r,ulteriorly,,in an ulterior manner,
00518855-r,vexatiously,,in a vexatious manner,
00519421-r,incorrigibly,,in an incorrigible manner,
00519523-r,rabidly,,in the manner of an animal with rabies,
00519615-r,rabidly,,in an extreme or fanatical manner,
00519720-r,insufferably,,in an extremely arrogant or conceited manner,
00520033-r,voluminously,,in a voluminous manner,
81276284-r,online,"{'source': 'UD_English-GUM Corpus', 'text': 'People were encouraged to submit their designs online at www.flag.govt.nz and suggest what the flag should mean on www.standfor.co.nz.'}",through a computer or a computer network,
90003183-r,derp,,reacting to a stupid but cute action,
91000331-r,so yeah,,"In other words, as a result",
91001531-r,tonally,,regarding the tone,
