synset,adverb,sentence,type
00278494-r,privily,told her friend privily that she was planning to be married,adverb.manner
00278759-r,balefully,she looked at him balefully,adverb.manner
00278865-r,banefully,this banefully poisoned climate,adverb.manner
00279015-r,bang,he ran bang into the pole,adverb.manner
00279015-r,slap,ran slap into her,adverb.degree
00279158-r,banteringly,he spoke to her banteringly,adverb.manner
00279287-r,barbarously,they were barbarously murdered,adverb.manner
00279400-r,bareback,she prefers to ride her horse bareback,adverb.manner
00279508-r,barefoot,he chased her barefoot across the meadow,adverb.manner
00279689-r,becomingly,she was becomingly dressed,adverb.manner
00279796-r,beneficially,this medicine will act beneficially on you,adverb.manner
00279923-r,benignly,this drug is benignly soporific,adverb.manner
00280063-r,imploringly,"‘You must help me,’ she said imploringly",adverb.manner
00280264-r,bewitchingly,she was bewitchingly beautiful,adverb.degree
00280480-r,biennially,this festival takes places biennially,adverb.frequency
00280708-r,blankly,she stared at him blankly,adverb.manner
00280828-r,blasphemously,the sailors were cursing blasphemously,adverb.manner
00280953-r,bluntly,he spoke bluntly,adverb.manner
00280953-r,roundly,he was criticized roundly,adverb.degree
00281193-r,boorishly,he behaved boorishly at the party,adverb.manner
00281472-r,breadthwise,cut the cloth breadthwise,adverb.manner
00281598-r,breezily,he swings breezily into the title song,adverb.manner
00281713-r,briskly,she walked briskly in the cold air,adverb.manner
00281713-r,briskly,"‘after lunch,’ she said briskly",adverb.manner
00281857-r,bestially,she treated her husband bestially,adverb.manner
00282023-r,bumptiously,he behaved rather bumptiously and offended the hostess,adverb.manner
00282160-r,buoyantly,we accepted the opportunity buoyantly,adverb.manner
00282402-r,bureaucratically,it's bureaucratically complicated,adverb.domain
00282529-r,bureaucratically,his bureaucratically petty behavior annoyed her,adverb.domain
00282667-r,cagily,"‘I don't know yet,’ he answered cagily",adverb.manner
00282813-r,cantankerously,he answered her cantankerously,adverb.manner
00282921-r,capriciously,"there were Turk's head lilies and patches of iris, islands of brilliant blue set capriciously in the green sea",adverb.manner
00283116-r,freakishly,the weather has been freakishly variable,adverb.degree
00283263-r,captiously,he was captiously pedantic,adverb.manner
00283379-r,caustically,he addressed her caustically,adverb.manner
00283532-r,cautiously,she ventured cautiously downstairs,adverb.manner
00283873-r,carelessly,one unfortunately sees historic features carelessly lost when estates fall into unsympathetic hands,adverb.manner
00284129-r,cavalierly,he treated his staff cavalierly,adverb.manner
00284287-r,ceaselessly,dance inspires him ceaselessly to strive higher and higher toward the shining pinnacle of perfection that is the goal of every artiste,adverb.frequency
00284664-r,interminably,a theological student with whom I argued interminably,adverb.temporal
00284664-r,endlessly,her nagging went on endlessly,adverb.temporal
00284883-r,centennially,the birthday of this city is being celebrated centennially,adverb.frequency
00285042-r,chaotically,the room was chaotically disorganized,adverb.manner
00285172-r,chaotically,the drugged man was talking chaotically,adverb.manner
00285302-r,chastely,she lived chastely,adverb.manner
00285612-r,cheaply,I bought this car very cheaply,adverb.manner
00285918-r,gallantly,he gallantly offered to take her home,adverb.manner
00286085-r,churlishly,the store owner treated his customers churlishly,adverb.manner
00286521-r,fairly,they played fairly,adverb.manner
00286695-r,unfairly,they dealt with him unfairly,adverb.manner
00286876-r,cleanly,the motor burns cleanly,adverb.manner
00287002-r,clearly,could be seen clearly under the microscope,adverb.manner
00287002-r,clear,She cried loud and clear,adverb.manner
00287169-r,clear,read the book clear to the end,adverb.degree
00287169-r,clear,slept clear through the night,adverb.degree
00287169-r,clear,there were open fields clear to the horizon,adverb.degree
00287341-r,climatically,they were used to a climatically different environment,adverb.domain
00287481-r,coastwise,we were travelling coastwise,adverb.spatial
00287580-r,coaxingly,"‘Come here,’ she said coaxingly",adverb.manner
00287686-r,coherently,she could not talk coherently after the accident,adverb.manner
00287833-r,incoherently,he talked incoherently when he drank too much,adverb.manner
00287982-r,colloquially,this building is colloquially referred to as The Barn,adverb.domain
00288204-r,collectedly,he announced the death of his father collectedly,adverb.manner
00288389-r,colloidally,particles were colloidally dispersed in the medium,adverb.manner
00288522-r,combatively,"‘Don't trespass onto my property,’ the neighbor shouted combatively",adverb.manner
00288714-r,comfortingly,one part of a strange world should be given a comfortingly familiar form,adverb.manner
00288916-r,compactly,liquid food compactly stored in a pressurized tank,adverb.manner
00289255-r,complacently,he complacently lived out his life as a village school teacher,adverb.manner
00289406-r,uncomplainingly,an equally gallant little wife and mother uncomplainingly keeping up the production of tasty and nourishing meals,adverb.manner
00289622-r,complainingly,"she did her work, but she did so complainingly",adverb.manner
00289970-r,compulsorily,the ministry considers that contributions to such a fund should be met from voluntary donations rather than from rates compulsorily levied.,adverb.manner
00290609-r,con,much was written pro and con,adverb.manner
00290900-r,conceptually,he can no longer think conceptually,adverb.manner
00291062-r,concernedly,‘Are you all right?’ he asked concernedly,adverb.manner
00291174-r,concisely,the history is summed up concisely in this book,adverb.manner
00291174-r,briefly,she replied briefly,adverb.temporal
00291174-r,shortly,to put it shortly,adverb.temporal
00291622-r,succinctly,Please state your case as succinctly as possible,adverb.manner
00291622-r,compactly,he wrote compactly but clearly,adverb.manner
00291841-r,conically,conically shaped,adverb.manner
00291936-r,cynically,Larsen's frost-blackened lips curved cynically,adverb.manner
00292249-r,cursorily,he looked cursorily through the magazine,adverb.manner
00292397-r,cumulatively,mind has become self-reproducing through man's capacity to transmit experience and its products cumulatively,adverb.manner
00292903-r,criminally,the alterations in the document were ruled to be criminally fraudulent,adverb.domain
00293079-r,criminally,the garden was criminally neglected,adverb.degree
00293230-r,coyly,she pouted and looked at him coyly,adverb.manner
00293335-r,cross-legged,he sat on the floor cross-legged and meditated,adverb.manner
00293447-r,condescendingly,he treats his secretary condescendingly,adverb.manner
00293817-r,conservatively,"we estimated the number of demonstrators conservatively at 200,000.",adverb.manner
00293998-r,conditionally,he accepted the offer conditionally,adverb.manner
00294119-r,unconditionally,he accepted the offer unconditionally,adverb.manner
00294248-r,crucially,crucially important,adverb.degree
00294391-r,crosswise,things are going crosswise,adverb.manner
00294567-r,counter,run counter,adverb.conjunctive
00294730-r,cross-country,the river runs cross-country,adverb.spatial
00294730-r,cross-country,the road runs cross-country,adverb.spatial
00294857-r,cross-country,they liked to race cross-country,adverb.spatial
00294964-r,crossly,she looked at her husband crossly,adverb.manner
00295138-r,crosstown,he traveled crosstown,adverb.spatial
00295240-r,craftily,he craftily arranged to be there when the decision was announced,adverb.manner
00295603-r,confusedly,Queen Augusta wrote him an hysterical letter in which she confusedly sympathised with him,adverb.manner
00295773-r,consequently,he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held,adverb.conjunctive
00296320-r,constructively,it is my task to look critically and constructively at the flaws and the failures,adverb.manner
00296859-r,coolly,without more ado Barker borrowed a knife from his brigade Major and honed it on a carborundum stone as coolly as a butcher,adverb.manner
00297385-r,plausibly,he talked plausibly before the committee,adverb.manner
00297385-r,probably,he will probably win the election,adverb.speaker_oriented
00297679-r,incredulously,the woman looked up at her incredulously,adverb.manner
00297912-r,credulously,the children followed the teacher credulously,adverb.manner
00298090-r,cryptically,"‘we will meet again,’ he said cryptically",adverb.manner
00298368-r,cunningly,how cunningly the olive-green dress with its underskirt of rose-brocade fitted her perfect figure,adverb.manner
00298575-r,curtly,he told me curtly to get on with it,adverb.manner
00298575-r,short,he talked short with everyone,adverb.manner
00298575-r,shortly,he said shortly that he didn't like it,adverb.manner
00298995-r,damply,a scarf was tied round her head but the rebellious curl had escaped and hung damply over her left eye,adverb.manner
00299197-r,dauntingly,dauntingly difficult,adverb.degree
00299316-r,dazedly,he wondered dazedly whether the term after next at his new school wouldn't matter so much,adverb.manner
00299520-r,decisively,the Fisher Act of 1918 decisively raised their status and pay,adverb.manner
00299667-r,decisively,the voted settled the argument decisively,adverb.manner
00300019-r,decisively,"‘I will come along,’ she said decisively",adverb.manner
00300164-r,indecisively,"‘I don't know,’ he said indecisively",adverb.manner
00300313-r,deftly,Lois deftly removed her scarf,adverb.manner
00300415-r,dejectedly,when she came back Sophie and Esther were sitting dejectedly in the kitchen,adverb.manner
00300702-r,delightfully,"the farm house, though in itself a small one, is delightfully situated",adverb.degree
00300857-r,demurely,"the army girl, tall and demurely pretty, threw a quick side-glance at her",adverb.manner
00301007-r,densely,old houses are often so densely packed that perhaps three or four have to be demolished for every new one built,adverb.manner
00301007-r,thickly,a thickly populated area,adverb.degree
00301256-r,compactly,The children were packed compactly into the car,adverb.manner
00301391-r,tightly,a tightly packed pub,adverb.manner
00301501-r,perhaps,perhaps she will call tomorrow,adverb.speaker_oriented
00301501-r,possibly,we may possibly run into them at the concert,adverb.speaker_oriented
00301501-r,peradventure,it may peradventure be thought that there never was such a time,adverb.speaker_oriented
00301750-r,just,it might just happen,adverb.focus
00301868-r,possibly,they can't possibly get here in time for the funeral?,adverb.degree
00302054-r,impossibly,long thought to be an impossibly difficult operation,adverb.degree
00302054-r,impossibly,impossibly far from sources of supply,adverb.degree
00302263-r,potentially,he is potentially dangerous,adverb.degree
00302263-r,potentially,potentially useful,adverb.degree
00302411-r,absurdly,an absurdly rich young woman,adverb.degree
00302540-r,derisively,"‘Sorry,’ she repeated derisively",adverb.manner
00302726-r,descriptively,these topics need to be treated not just descriptively,adverb.manner
00302867-r,deservedly,he chalked up two goals which deservedly gave Bolton their second victory of the season,adverb.speaker_oriented
00303212-r,despairingly,‘Why can't you understand?’ she asked despairingly,adverb.manner
00303375-r,developmentally,developmentally retarded,adverb.domain
00303492-r,devilishly,the socialists are further handicapped if they believe that capitalists are not only wicked but also devilishly clever,adverb.degree
00303712-r,congenially,"‘Let's all have a drink together,’ he said congenially",adverb.manner
00303849-r,contagiously,she was contagiously bubbly,adverb.manner
00303994-r,polemically,criticism too polemically stated,adverb.manner
00304274-r,convivially,"‘Let's go and have a drink,’ she said convivially",adverb.manner
00304406-r,coquettishly,she smiled coquettishly,adverb.manner
00304549-r,jealously,he looked at his friend's new car jealously,adverb.manner
00304748-r,creakily,the old boat was moving along creakily,adverb.manner
00304906-r,crushingly,the team was crushingly defeated,adverb.degree
00305161-r,ignobly,he behaved ignobly,adverb.manner
00305302-r,dottily,the old lady is beginning to behave quite dottily,adverb.manner
00305545-r,daintily,she nibbled daintily at her cake,adverb.manner
00305669-r,daintily,the invitation cards were written up daintily in white and gold,adverb.manner
00305947-r,daringly,daringly he took the first step,adverb.subject_oriented
00306058-r,dashingly,he was dashingly handsome,adverb.degree
00306173-r,daylong,light pours daylong into the parlor,adverb.temporal
00306378-r,decorously,he pretended to be pleased and applauded decorously,adverb.manner
00306669-r,willingly,I willingly accept,adverb.manner
00306817-r,unwillingly,he had sinned against her unwillingly,adverb.manner
00306956-r,deeply,dived deeply,adverb.degree
00306956-r,deep,dug deep,adverb.spatial
00307076-r,deep,penetrated deep into enemy territory,adverb.spatial
00307076-r,deep,went deep into the woods,adverb.spatial
00307214-r,deep,deep into the night,adverb.degree
00307214-r,late,talked late into the evening,adverb.temporal
00307328-r,late,she married late,adverb.temporal
00307328-r,late,undertook the project late in her career,adverb.temporal
00307452-r,defenselessly,"the child was standing in the middle of the crossfire, defenselessly",adverb.manner
00307661-r,defensively,the general conviction that our side is in the right and acting defensively over what Russians call the German question and Americans the Berlin crisis,adverb.manner
00307913-r,defensively,"‘I felt it better you should know,’ said Sir Cedric defensively",adverb.manner
00308075-r,offensively,the admiral intends to act offensively in the Mediterranean,adverb.manner
00308302-r,offensively,he said so in one of his more offensively intellectually arrogant sentences,adverb.degree
00308527-r,inoffensively,"that wretched beast, the elephant, breathing inoffensively not a pace behind me",adverb.manner
00308726-r,offensively,he smelled offensively unwashed,adverb.degree
00308872-r,distinctly,urbanization in Spain is distinctly correlated with a fall in reproductive rate,adverb.degree
00309032-r,distinctly,the subtleties of this distinctly British occasion,adverb.degree
00309183-r,distractedly,"‘Come in,’ he said distractedly",adverb.manner
00309299-r,deferentially,he listened deferentially,adverb.manner
00309424-r,deferentially,he always acts so deferentially around his supervisor,adverb.manner
00309593-r,deliriously,he was talking deliriously,adverb.manner
00309700-r,deliriously,her answer made him deliriously happy,adverb.degree
00309820-r,delusively,the village looked delusively near,adverb.manner
00309952-r,demonstrably,his documentary sources are demonstrably wrong,adverb.speaker_oriented
00310309-r,diabolically,his writing could be diabolically satiric,adverb.degree
00310642-r,despicably,he acted despicably,adverb.manner
00310744-r,despitefully,pray for them that despitefully use us,adverb.manner
00310908-r,destructively,he is destructively aggressive,adverb.manner
00311025-r,abominably,I don't know anyone who could have behaved so abominably,adverb.manner
00311429-r,harmlessly,this is a harmlessly childish game,adverb.manner
00311562-r,deviously,he got the promotion by behaving deviously,adverb.manner
00311683-r,devotedly,He served his master devotedly,adverb.manner
00311786-r,devoutly,she was devoutly Catholic,adverb.degree
00311926-r,dextrously,dextrously he untied the knots,adverb.manner
00312113-r,diagonally,she lives diagonally across the street from us,adverb.spatial
00312240-r,diagrammatically,"the landscape unit drawn diagrammatically illustrates the gentle rolling relief, with a peat-filled basin",adverb.manner
00312450-r,diametrically,three of these brushes were approximately 120 feet apart and the fourth diametrically opposite to one of the three,adverb.degree
00312823-r,dictatorially,this manager acts dictatorially toward his colleagues,adverb.manner
00313044-r,didactically,this is a didactically sound method,adverb.domain
00313196-r,differentially,Hubel and Wiesel have found cells that respond differentially according to the direction in which a stimulus is moved across the retina,adverb.manner
00313420-r,diligently,"we may diligently observe the Lord's supper on the first day of the week, diligently preach the gospel, or minister to the saint",adverb.manner
00313645-r,direfully,"seeing himself trapped, he cried out direfully",adverb.manner
00313770-r,dirtily,a dirtily dressed camel driver,adverb.manner
00313913-r,dirtily,as dirtily drunk as usual,adverb.degree
00313996-r,disagreeably,"‘I took no harm from the journey, thank you,’ she said disagreeably",adverb.manner
00314168-r,disappointedly,she left the gambling table disappointedly,adverb.manner
00314318-r,disappointingly,"the discoverer of argon, Sir William Ramsay, looked disappointingly ordinary",adverb.degree
00314485-r,disastrously,the real value of the trust capital may be disastrously less than when the trust began,adverb.degree
00314656-r,disconcertingly,"he drank some sherry, his eyes disconcertingly keen as he watched her",adverb.degree
00314829-r,discontentedly,he was still rumbling discontentedly when Pike returned bearing a folder of foolscap sheets,adverb.manner
00315026-r,disgracefully,his grades were disgracefully low,adverb.degree
00315534-r,disgustingly,the beggar was disgustingly filthy,adverb.degree
00315777-r,aboveboard,was known for dealing aboveboard in everything,adverb.manner
00315990-r,dishonestly,he acted dishonestly when he gave the contract to his best friend,adverb.manner
00316567-r,hypocritically,he behaved hypocritically by praying piously when people were watching,adverb.manner
00316726-r,dishonorably,he was dishonorably discharged,adverb.manner
00316850-r,honorably,he was honorably discharged after many years of service,adverb.manner
00317174-r,disinterestedly,he decided the case disinterestedly,adverb.manner
00317312-r,disjointedly,"‘We're not married, not really married,’ she said, and slowly, reluctantly, disjointedly it came out",adverb.manner
00317497-r,loyally,government will not be efficient unless the people as a whole accept leadership loyally and enthusiastically,adverb.manner
00317712-r,disloyally,his men acted disloyally and betrayed him in the end,adverb.manner
00317880-r,dismally,as he looks at the mess he has left behind he must wonder how the Brits so often managed to succeed in the kind of situation where he has so dismally failed,adverb.manner
00318128-r,dismally,"in August 1914, there was a dismally sentimental little dinner, when the French, German, Austrian and Belgian members of the committee drank together to the peace of the future",adverb.degree
00318413-r,obediently,obediently she slipped off her right shoe and stocking,adverb.subject_oriented
00318598-r,disobediently,he went ahead disobediently and did what his supervisor had warned him not to do,adverb.manner
00318783-r,dispassionately,"although he was looking at the other girl, he did so dispassionately",adverb.manner
00318955-r,disparagingly,these mythological figures are described disparagingly as belonging ‘only to a story’,adverb.manner
00319159-r,dispiritedly,the first Mozartian opera to be subjected to this curious treatment ran dispiritedly for five performances,adverb.manner
00319394-r,displeasingly,he made displeasingly cutting remarks about his friends,adverb.degree
00319536-r,disproportionately,his benefits were disproportionately generous,adverb.degree
00319696-r,proportionately,your salary will rise proportionately to your workload,adverb.manner
00319894-r,disproportionately,this wall is disproportionately long,adverb.degree
00320034-r,proportionately,the height of this wall must be reduced proportionately to give the room pleasant dimensions,adverb.manner
00320344-r,disquietingly,the disquietingly close sounds of gunfire,adverb.degree
00320668-r,respectfully,might I respectfully suggest to the Town Council that they should adopt a policy of masterly inactivity?,adverb.manner
00320875-r,disrespectfully,he treats his parents rather disrespectfully,adverb.manner
00321158-r,distastefully,a distastefully explicit report on the Royal couple's marital life,adverb.degree
00321324-r,distressfully,"‘Doctor Rother says it's his only chance,’ she added distressfully",adverb.manner
00321467-r,distributively,marine vertebrates have their weight supported distributively by the water,adverb.manner
00321801-r,distrustfully,she looked at him distrustfully,adverb.manner
00321961-r,trustingly,she looked at her father trustingly,adverb.manner
00322170-r,disturbingly,the details of the kidnapper's letter had sounded disturbingly convincing,adverb.degree
00322408-r,dogmatically,he is a dogmatically opinionated critic of Modern Art,adverb.manner
00322558-r,dolefully,his mother looked at him dolefully when he told her he had joined the Army,adverb.manner
00322759-r,domestically,the housewife bored us with her domestically limited conversation,adverb.domain
00323100-r,domineeringly,his wife behaved domineeringly,adverb.manner
00323217-r,double,some people sleep better double,adverb.degree
00323299-r,double,he was bent double with pain,adverb.manner
00323505-r,doubtfully,Gerald shook his head doubtfully,adverb.manner
00323648-r,dowdily,she dresses dowdily,adverb.manner
00323926-r,downhill,your performance has been going downhill for a long time now,adverb.spatial
00324059-r,drably,she dresses drably,adverb.manner
00324150-r,dreamily,"‘She would look beautiful in the new dress,’ Tommy said dreamily",adverb.manner
00324332-r,droopingly,"a branch hung low, droopingly",adverb.manner
00324442-r,drowsily,"‘Time to get up,’ she said drowsily",adverb.manner
00324586-r,dumbly,I nodded dumbly and he slit the envelope,adverb.manner
00324708-r,obtusely,he had so rapaciously desired and so obtusely expected to find her alone,adverb.subject_oriented
00324912-r,dutifully,he dutifully visited his mother every Sunday,adverb.manner
00325059-r,dynamically,this pianist plays dynamically,adverb.manner
00325179-r,east,we travelled east for several miles,adverb.spatial
00325179-r,east,located east of Rome,adverb.spatial
00325301-r,west,we moved west to Arizona,adverb.spatial
00325301-r,west,situated west of Boston,adverb.spatial
00325415-r,westward,they traveled westward toward the setting sun,adverb.spatial
00325528-r,eastward,they migrated eastward to Sweden,adverb.spatial
00325628-r,easterly,the winds blew easterly all night,adverb.spatial
00325751-r,westerly,the wind blew westerly,adverb.spatial
00325982-r,ebulliently,Khrushchev ebulliently promised to supply rockets for the protection of Cuba against American aggression,adverb.manner
00326234-r,ecclesiastically,the candidate was ecclesiastically endorsed,adverb.domain
00326369-r,ecologically,"ecologically speaking, this idea is brilliant; economically, it is a disaster",adverb.domain
00326532-r,ecstatically,he reacted ecstatically to my plan to travel to Africa,adverb.manner
00326736-r,edgeways,he sawed the board edgeways,adverb.manner
00326736-r,edgewise,held it edgewise,adverb.manner
00326886-r,edgewise,I could not get a word in edgewise,adverb.manner
00326996-r,educationally,the assistant masters formed a committee of their own to consider what could be done educationally for the town,adverb.domain
00327195-r,eerily,it was eerily quiet in the chapel,adverb.degree
00327305-r,effectually,"Bismarck was constantly criticized by the more liberal newspapers, and he retaliated by passing an emergency decree that effectually muzzled the press",adverb.manner
00327539-r,ineffectually,"she tried ineffectually to light the primus, and Thomas came to help her",adverb.manner
00327717-r,effectively,these are real problems that can be dealt with most effectively by rational discussion,adverb.manner
00327957-r,ineffectively,he dealt with the problem rather ineffectively,adverb.manner
00328245-r,effusively,the critics praised her effusively,adverb.manner
00328361-r,demonstratively,he greeted her demonstratively,adverb.manner
00328482-r,egotistically,he behaved egotistically,adverb.manner
00328642-r,unselfishly,he acted unselfishly when he helped her get the promotion,adverb.manner
00328801-r,elegantly,the members of these groups do not express themselves as accurately or as elegantly as their critics do,adverb.manner
00328994-r,elegantly,the room was elegantly decorated,adverb.manner
00329241-r,eloquently,he expressed his ideas eloquently,adverb.manner
00329418-r,inarticulately,the freshman expresses his thoughts inarticulately,adverb.manner
00329628-r,embarrassingly,the great man was embarrassingly humble and self-effacing,adverb.degree
00329771-r,eminently,two subjects on which he was eminently qualified to make an original contribution,adverb.degree
00329932-r,emulously,she emulously tried to outdo her older sister,adverb.manner
00330072-r,encouragingly,"‘Go on,’ he said encouragingly to his student",adverb.manner
00330223-r,discouragingly,the failure rate on the bar exam is discouragingly high,adverb.degree
00330385-r,endways,houses built endways,adverb.manner
00330507-r,endways,endways pressure,adverb.manner
00330623-r,endways,sticks leaning against the wall endways,adverb.manner
00330729-r,enterprisingly,"‘Let's go up that mountain,’ she said enterprisingly",adverb.manner
00330871-r,entertainingly,Byron's consumed memoirs possessed the merit of being well and entertainingly written,adverb.manner
00331028-r,environmentally,the new recycling policy is environmentally safe,adverb.domain
00331161-r,equably,he is an equably cheerful fellow,adverb.manner
00331271-r,equitably,the inheritance was equitably divided among the sisters,adverb.manner
00331426-r,inequitably,their father's possessions were inequitably divided among the sons,adverb.manner
00331596-r,erectly,the old man still walks erectly,adverb.manner
00331730-r,eruditely,he talked eruditely about Indian mythology,adverb.manner
00331898-r,ethically,he behaved ethically,adverb.manner
00331898-r,ethically,this is ethically unacceptable,adverb.domain
00332102-r,unethically,he behaved unethically,adverb.manner
00332226-r,euphemistically,his violent death was euphemistically referred to as a passing away,adverb.manner
00332382-r,evasively,"her husband seemed to know many of the people who were named, but he replied evasively when asked who they were",adverb.manner
00332684-r,evolutionarily,the mutation has been evolutionarily successful,adverb.domain
00332957-r,regularly,try to breathe regularly,adverb.manner
00333090-r,irregularly,the patient is breathing irregularly,adverb.manner
00333223-r,regularly,letters arrived regularly from his children,adverb.frequency
00333384-r,irregularly,her letters arrived irregularly,adverb.frequency
00333384-r,irregularly,the stomach mucosa was irregularly blackened,adverb.manner
00333541-r,regularly,regularly shaped objects,adverb.manner
00333664-r,irregularly,irregularly shaped solids,adverb.manner
00333793-r,evenly,a class evenly divided between girls and boys,adverb.manner
00333793-r,equally,they split their winnings equally,adverb.manner
00333793-r,equally,deal equally with rich and poor,adverb.manner
00334089-r,unevenly,profits were distributed unevenly,adverb.manner
00334089-r,unequally,angry at being dealt with so unequally,adverb.manner
00334320-r,evermore,lead a blameless life evermore,adverb.temporal
00334438-r,excitingly,"at the time of its appearance, the movie must have seemed excitingly new, even revolutionary",adverb.degree
00334630-r,unexcitingly,this painting was nothing more but an unexcitingly grey canvas with a few red speckles,adverb.manner
00334820-r,excusably,he was excusably late,adverb.speaker_oriented
00335065-r,inexcusably,he was inexcusably cruel to his wife,adverb.degree
00335337-r,exorbitantly,prices are exorbitantly high in the capital,adverb.degree
00335764-r,expensively,an expensively dressed little man turned a corner and approached her,adverb.manner
00335934-r,cheaply,a cheaply dressed woman approached him in the bar,adverb.manner
00336120-r,explosively,the population in Central America is growing explosively,adverb.manner
00336240-r,explosively,the political situation in Kashmir and Jammu is explosively unstable,adverb.degree
00336392-r,exponentially,inflation is growing exponentially,adverb.manner
00336514-r,express,please send the letter express,adverb.manner
00336594-r,expressively,"she gave the order to the waiter, using her hands very expressively",adverb.manner
00336764-r,inexpressively,she looked at him inexpressively,adverb.manner
00336906-r,extemporaneously,he spoke extemporaneously,adverb.manner
00337268-r,exuberantly,the exuberantly baroque decoration of the church,adverb.degree
00337533-r,treacherously,he behaved treacherously,adverb.manner
00337533-r,false,his wife played him false,adverb.manner
00337789-r,falsely,to credit Lister with the first formulation of the basic principle of stratigraphy would be to bestow credit falsely,adverb.manner
00338017-r,falsely,"a seduction on my part would land us with the necessity to rise, bathe and dress, chat falsely about this and that, and emerge into the rest of the evening as though nothing had happened",adverb.manner
00338291-r,familiarly,"Sid, as he was familiarly known by his friends, was one of the most respected and devoted members of the socialist minority group",adverb.manner
00338513-r,famously,in his famously anecdotal style,adverb.speaker_oriented
00338649-r,fanatically,he followed the teachings of his guru fanatically,adverb.manner
00338792-r,fancifully,the Christmas tree was fancifully decorated,adverb.manner
00338930-r,farcically,a farcically inept bungler,adverb.degree
00339037-r,fashionably,his voice had no trace of the drawl that you would expect to find in a fashionably dressed young man,adverb.manner
00339240-r,unfashionably,she seemed to make a point of being unfashionably dressed,adverb.manner
00339405-r,fastidiously,"he writes extremely musical music, of which the sound is fastidiously calculated and yet agreeably spontaneous and imaginative",adverb.manner
00339616-r,civilly,he treats his former wife civilly,adverb.manner
00339742-r,uncivilly,he treats his former wife uncivilly,adverb.manner
00339875-r,fatefully,the nurse whispered fatefully to call the priest,adverb.manner
00340016-r,faultily,these statements were faultily attributed to me,adverb.manner
00340145-r,faultlessly,he solved all the problems faultlessly,adverb.manner
00340283-r,fearsomely,a sabre slammed fearsomely through the thicket in all directions,adverb.manner
00340561-r,feebly,"the lighthouse, flashing feebly against the sleet-blurred, rocky backdrop of the coast of north west Norway",adverb.manner
00340753-r,feelingly,she spoke feelingly of her early childhood,adverb.manner
00341042-r,felicitously,a not felicitously chosen word,adverb.manner
00341175-r,infelicitously,he chose his words rather infelicitously,adverb.manner
00341323-r,fervently,both those for and against are fervently convinced they speak for the great majority of the people,adverb.degree
00341323-r,fierily,a fierily opinionated book,adverb.manner
00341730-r,figuratively,"figuratively speaking, …",adverb.domain
00341857-r,literally,literally translated,adverb.manner
00341857-r,literally,he said so literally,adverb.manner
00342127-r,firsthand,I heard this story firsthand,adverb.manner
00342247-r,first-rate,she doesn't feel first-rate today,adverb.manner
00342345-r,fitfully,he slept fitfully,adverb.manner
00342439-r,fixedly,he stared at me fixedly,adverb.manner
00342537-r,flabbily,the old man's muscles were sagging flabbily,adverb.manner
00342657-r,flagrantly,he is flagrantly disregarding the law,adverb.manner
00342775-r,flamboyantly,he dresses rather flamboyantly,adverb.manner
00342951-r,flat,sail flat against the wind,adverb.manner
00343029-r,flexibly,"‘Come whenever you are free,’ he said flexibly",adverb.manner
00343168-r,inflexibly,‘You will — because you must!’ Madam told her inflexibly,adverb.manner
00343326-r,flimsily,this car is so flimsily constructed!,adverb.manner
00343448-r,flip-flap,something going flip-flap in the night,adverb.manner
00343559-r,flippantly,he answered the reporters' questions flippantly,adverb.manner
00343559-r,airily,this cannot be airily explained to your children,adverb.manner
00343748-r,flop,he tumbled flop into the mud,adverb.manner
00343834-r,fluently,she speaks French fluently,adverb.manner
00343937-r,forbiddingly,it was forbiddingly dark in the corridor,adverb.manner
00344075-r,forcefully,we are seeing this film too late to feel its original impact forcefully,adverb.degree
00344222-r,cold-bloodedly,he cold-bloodedly planned the murder of his boss,adverb.manner
00344420-r,forcibly,keep in mind the dangers of imposing our own values and prejudices too forcibly,adverb.manner
00344578-r,forgetfully,she is getting old and acts forgetfully,adverb.manner
00344700-r,forgivingly,"‘Never mind,’ she said forgivingly",adverb.manner
00345046-r,forlornly,a single chicken was scratching forlornly in the yard,adverb.manner
00345178-r,formidably,the constant risk that attends the exchanges of human beings formidably armed,adverb.degree
00345338-r,formlessly,the dress hung formlessly on her body,adverb.manner
00346004-r,foully,two policemen were foully murdered,adverb.manner
00346108-r,foully,this internationally known writer was foully condemned by the Muslim fundamentalists,adverb.manner
00346296-r,fourfold,the price of gasoline has increased fourfold over the past two years,adverb.degree
00346455-r,millionfold,it increased a millionfold,adverb.degree
00346729-r,fractiously,the horse was behaving fractiously and refused to jump,adverb.manner
00346945-r,fraudulently,this money was fraudulently obtained,adverb.manner
00347080-r,frenziedly,we rehearsed frenziedly the last few days before the premiere,adverb.manner
00347455-r,functionally,the two units are functionally interdependent,adverb.domain
00347587-r,frighteningly,"the disturbing thing about the Minister's behavior is that far from being artificial, it too often rings frighteningly true",adverb.degree
00347823-r,frostily,"‘Come in if you have to,’ he said frostily",adverb.manner
00348098-r,friskily,he moves about friskily despite his age,adverb.manner
00348224-r,frivolously,she spends her time frivolously enjoying the easy life of a rich and spoiled girl,adverb.manner
00348388-r,frothily,the champagne poured frothily into the glasses,adverb.manner
00348511-r,gainfully,are you gainfully employed now?,adverb.manner
00348618-r,gamely,"he was seen by a shepherd, gamely negotiating a particularly tricky section of the mountain road to San Doloroso",adverb.manner
